tconst,averageRating,numVotes
tt0206113,6.3,1567
tt0206226,6.0,6606
tt0206275,6.2,66022
tt0206314,6.6,76037
tt0206367,5.0,1295
tt0206420,5.3,10931
tt0206634,7.9,529853
tt0206742,6.4,2147
tt0206762,6.3,1515
tt0206917,6.1,16471
tt0206926,5.6,6110
tt0206963,7.2,5909
tt0207161,5.7,1478
tt0207198,6.8,3759
tt0207201,6.4,222549
tt0207524,6.8,3649
tt0208003,5.2,90846
tt0208026,5.7,1256
tt0208032,7.1,1257
tt0208092,8.2,911854
tt0208181,6.6,1180
tt0208196,7.2,10232
tt0208675,7.0,1334
tt0208874,6.9,25035
tt0208911,6.3,2005
tt0208988,5.1,36621
tt0208990,7.3,21456
tt0208993,6.9,1626
tt0209037,6.9,3331
tt0209077,5.8,30822
tt0209144,8.4,1324390
tt0209163,6.4,346298
tt0209180,8.1,5101
tt0209322,6.2,3682
tt0209475,5.3,86661
tt0209958,6.4,109188
tt0210065,6.7,14550
tt0210070,6.8,52358
tt0210075,6.7,11388
tt0210094,5.4,2845
tt0210299,7.3,3684
tt0210358,6.4,7376
tt0210382,5.8,10039
tt0210567,5.6,4306
tt0210584,6.2,2478
tt0210616,6.7,22808
tt0210943,6.4,2605
tt0210945,7.8,232164
tt0211181,4.8,39656
tt0211387,6.7,6922
tt0211443,4.4,61579
tt0211465,6.1,24886
tt0211492,6.8,4706
tt0211661,6.0,1913
tt0211718,7.2,2980
tt0211900,5.9,1303
tt0211915,8.3,794894
tt0211933,6.5,80651
tt0211938,5.7,13213
tt0211941,5.4,1617
tt0211946,7.2,15208
tt0212132,7.3,3301
tt0212338,7.0,355508
tt0212346,6.3,230665
tt0212380,6.2,9045
tt0212604,7.3,1994
tt0212712,7.4,61824
tt0212720,7.2,323295
tt0212742,5.3,1798
tt0212815,7.3,4907
tt0212826,7.0,6080
tt0212830,5.3,6440
tt0212867,4.8,1299
tt0212879,5.9,6192
tt0212910,5.7,1348
tt0212974,6.6,4531
tt0212985,6.8,293455
tt0213149,6.2,352173
tt0213203,6.2,13635
tt0213790,5.2,13824
tt0213802,3.2,1937
tt0213847,7.4,112157
tt0213890,7.0,33426
tt0213985,6.9,2659
tt0214265,6.4,1055
tt0214289,6.3,3735
tt0214388,5.8,23651
tt0214529,4.5,5187
tt0214871,3.6,1669
tt0214878,6.3,1822
tt0215129,6.5,178415
tt0215135,4.4,3769
tt0215516,6.2,1683
tt0215545,6.7,12359
tt0215681,6.6,4336
tt0215750,7.5,277840
tt0216216,5.9,128003
tt0216417,5.8,2315
tt0216578,6.8,1316
tt0216584,5.6,4156
tt0216605,6.0,1959
tt0216620,4.4,2445
tt0216625,7.1,15193
tt0216651,7.6,35871
tt0216689,6.6,1311
tt0216741,4.9,2335
tt0216746,3.7,1945
tt0216772,4.1,1393
tt0216787,7.2,10382
tt0216799,7.0,6773
tt0216800,7.1,11964
tt0216841,4.2,1084
tt0216911,6.1,1090
tt0216930,4.8,1894
tt0217019,6.1,1833
tt0217086,4.6,1573
tt0217119,6.9,1707
tt0217331,5.1,3186
tt0217355,5.7,4143
tt0217505,7.5,473422
tt0217629,7.0,3593
tt0217630,5.3,30378
tt0217756,5.3,15337
tt0217824,6.2,1782
tt0217869,7.3,442362
tt0217978,5.7,1632
tt0218067,4.3,2104
tt0218080,3.3,1316
tt0218107,5.6,1178
tt0218112,6.2,1531
