tconst,producer
tt0209144,"nm0865189,nm0865297"
tt0209163,"nm0199733,nm0413208"
tt0209180,nm0759685
tt0209322,"nm0225457,nm0649610,nm0832169"
tt0209475,"nm0009222,nm0215769,nm0316774,nm0506597"
tt0209958,"nm0138918,nm0572805"
tt0210065,"nm0147080,nm0382278"
tt0210070,"nm0355775,nm0387541"
tt0210075,"nm0338320,nm0341301,nm0719964"
tt0210094,nm0224145
tt0210299,"nm0589194,nm0726538"
tt0210358,"nm0000816,nm0512461,nm0644749"
tt0210382,"nm0457715,nm0797451,nm0946003"
tt0210567,"nm0078224,nm0705205"
tt0210584,nm0513182
tt0210616,nm0548257
tt0210943,nm0586942
tt0210945,"nm0000988,nm0648288"
tt0211181,"nm0100650,nm0271026,nm0499409"
tt0211443,nm0192409
tt0211465,"nm0004744,nm0002718,nm0505522"
tt0211492,"nm0065510,nm0263236,nm0346521,nm0939598"
tt0211661,"nm0199639,nm0004165"
tt0211718,nm0309697
tt0211915,nm0652226
tt0211933,"nm0459852,nm0006597,nm0001770,nm0895903"
tt0211938,nm0753251
tt0211941,"nm0679348,nm0798640,nm0958415"
tt0211946,"nm1187492,nm0836708"
tt0212132,"nm0208854,nm0752646"
tt0212338,"nm0000134,nm0005366,nm0742772,nm0854941"
tt0212346,nm0000113
tt0212380,"nm0394564,nm0414014,nm0748039"
tt0212604,"nm0083656,nm0839064"
tt0212712,nm0939182
tt0212720,"nm0193268,nm0005086,nm0000229"
tt0212742,"nm0455780,nm0660712,nm0827867"
tt0212815,nm0149671
tt0212826,nm0639780
tt0212830,"nm0054449,nm0344657"
tt0212867,"nm0006518,nm0728575"
tt0212879,"nm0381230,nm0442207"
tt0212910,"nm2702999,nm0506217,nm0623235,nm0774334"
tt0212974,"nm0719491,nm0365615"
tt0212985,"nm0209569,nm0776646,nm0000631"
tt0213149,"nm0000881,nm0000988"
tt0213203,"nm0190780,nm0458312"
tt0213790,nm0584427
tt0213802,"nm0688175,nm0704313"
tt0213847,"nm0076555,nm0005544"
tt0213890,nm0007181
tt0213985,"nm0002764,nm1603520"
tt0214289,"nm0229062,nm0481610,nm0613349"
tt0214388,"nm0088173,nm0278292,nm0320125,nm0006709"
tt0214529,nm0764963
tt0214871,"nm0467883,nm0467884"
tt0215129,"nm0325175,nm0575817"
tt0215135,"nm0641496,nm0007142"
tt0215516,"nm0203246,nm0434838,nm0450521,nm0000198"
tt0215545,"nm0453091,nm0000490"
tt0215681,"nm0165361,nm0944230"
tt0215750,"nm0000269,nm0774528"
tt0216216,"nm0205727,nm0005219,nm0000216"
tt0216417,"nm0112757,nm0316318"
tt0216578,"nm0702466,nm0702467"
tt0216584,"nm1545690,nm1358092,nm0928691"
tt0216605,nm0104418
tt0216620,nm0101946
tt0216625,"nm0439767,nm0764963"
tt0216651,"nm0555470,nm0619181,nm0945451"
tt0216689,nm0702455
tt0216741,"nm0389385,nm0901022"
tt0216746,"nm0790898,nm0790900,nm0790901"
tt0216772,"nm0651830,nm0910241"
tt0216787,"nm0126888,nm0309369"
tt0216799,"nm0159402,nm0169184"
tt0216800,nm0756709
tt0216841,"nm0022969,nm0022971,nm0145574"
tt0216911,"nm0268543,nm8232308"
tt0216930,"nm0193394,nm0001098"
tt0217019,nm0323885
tt0217086,nm0104631
tt0217119,"nm0244663,nm0674725"
tt0217331,nm0634284
tt0217355,"nm0074851,nm0110357,nm0427827,nm0445992"
tt0217505,"nm0342090,nm0005544"
tt0217629,nm0449973
tt0217630,"nm0135245,nm0002132"
tt0217756,"nm0628352,nm0798711"
tt0217824,"nm0117354,nm0824395"
tt0217869,"nm0578814,nm0580303,nm0796117"
tt0217978,nm0435728
tt0218067,"nm0251536,nm0609265,nm0696611"
tt0218080,"nm0783785,nm0691061"
tt0218107,"nm0385987,nm0744939,nm0938145"
tt0218112,nm0664667
tt0218141,"nm0034827,nm0068090"
tt0218182,"nm0226544,nm0425741,nm0001469,nm0640372"
tt0218378,nm0247787
tt0218379,"nm0321159,nm0698706,nm0874011"
tt0218533,nm0438508
tt0218581,"nm0034483,nm0000783,nm0193184"
tt0218616,"nm0110357,nm0427827"
tt0218619,"nm0149563,nm0605775"
tt0218817,"nm0011688,nm0630090,nm0917059"
tt0218839,nm0614420
tt0218864,"nm0262052,nm0420743"
tt0218922,"nm0224145,nm0347443,nm0498718"
tt0218967,"nm0008953,nm0525059,nm0724843,nm0742651"
tt0219171,"nm0166436,nm0576438,nm0645164,nm0880302"
tt0219288,nm0648576
tt0219374,"nm0602104,nm0924357,nm0958379,nm0958387"
tt0219400,"nm0617147,nm0007011,nm0948267"
tt0219405,"nm0122672,nm0893744"
tt0219519,"nm0722489,nm0002989,nm0831806"
tt0219653,"nm0096176,nm0812373"
tt0219699,"nm0413208,nm0524342,nm0742347"
tt0219822,"nm0106835,nm0394046,nm0005069,nm0442109"
tt0219854,"nm0523324,nm0825730,nm0005509"
tt0219952,"nm0199733,nm0001188,nm0006790,nm0493662"
tt0219965,"nm0002170,nm0075277,nm0083688,nm0387674"
tt0220099,nm0008859
tt0220100,"nm0001214,nm0829176"
tt0220157,nm4405791
tt0220343,"nm0296198,nm0535803,nm0595547"
tt0220506,nm0293551
tt0220623,nm0361437
tt0220627,"nm0292024,nm0888605"
tt0220631,nm0664929
tt0220827,nm0000783
tt0221013,nm0723845
tt0221027,"nm0001130,nm0470727,nm0001459,nm0830255"
tt0221069,"nm0081179,nm0321554"
tt0221073,nm0071938
tt0221218,nm0605775
tt0221559,"nm0347384,nm0487791"
tt0221563,"nm0157336,nm0189596"
tt0221799,"nm0131974,nm0863659"
tt0221838,"nm0380248,nm0487791,nm0610492"
tt0221885,"nm0858328,nm0893845"
tt0221889,"nm0232049,nm0910807"
tt0221928,"nm0065376,nm0405433"
tt0222012,nm0352032
tt0222024,nm0092555
tt0222150,"nm0287178,nm0380547,nm0900280"
tt0222167,"nm1088850,nm1097114,nm0438183"
tt0222270,"nm0004487,nm0451321,nm0592583"
tt0222293,"nm0192441,nm0423395"
tt0222812,"nm0273327,nm0951206"
tt0222850,"nm0509176,nm0585523"
tt0223268,"nm0273327,nm0951206"
tt0223832,"nm0110463,nm0752646"
tt0223897,"nm0009222,nm0506597,nm0720715"
tt0223954,"nm0591266,nm0742396,nm0940531"
tt0224025,nm0062341
tt0224578,nm0744384
tt0225071,"nm0075732,nm0004799,nm0759627"
tt0225824,"nm0006791,nm0389385,nm0901022"
tt0226935,"nm0018936,nm0463025,nm0882927,nm0935095"
tt0227005,"nm0269463,nm0000681"
tt0227194,nm1397176
tt0227277,"nm0294554,nm0469696"
tt0227445,"nm0287811,nm0723676"
tt0227538,"nm0042882,nm0001675"
tt0227980,"nm0351006,nm0840143,nm0897745"
tt0227984,"nm0213433,nm0358877,nm0463325,nm0572649"
tt0228242,nm0552909
tt0228333,nm0455253
tt0228488,nm0724597
tt0228687,"nm0341702,nm0436047,nm0840905"
tt0228750,"nm0000431,nm0612529"
tt0228786,nm0004347
tt0228871,nm0414734
tt0229002,"nm0004784,nm0668143,nm0759627,nm0002989"
tt0229260,nm0140011
tt0229340,"nm0226544,nm0337287"
tt0229664,"nm0116369,nm0481451"
tt0230011,nm0353893
tt0230025,nm0662383
tt0230030,"nm0016603,nm0000601"
tt0230098,nm0099373
tt0230169,"nm0564033,nm0615559"
tt0230512,"nm0141533,nm0514571,nm0514572,nm0674323"
tt0230600,"nm0100559,nm0191109,nm0839331"
tt0230838,"nm0440990,nm0720715,nm0831097,nm0831098"
tt0231001,"nm0017490,nm0467286"
tt0231138,"nm0213983,nm0006787,nm0797853"
tt0231402,"nm0001357,nm0393678"
tt0231448,"nm0126653,nm0142301,nm0148535,nm0453779"
tt0231775,"nm0199733,nm0413208,nm0744754"
tt0231971,nm0783203
tt0232083,nm0439767
tt0232500,nm0605775
tt0232632,"nm0716109,nm0716113"
tt0233142,"nm0509028,nm0541989,nm0759627,nm0818344"
tt0233289,nm0691061
tt0233418,"nm0252970,nm0811773"
tt0233469,"nm0287759,nm0720715"
tt0233600,"nm0150858,nm0155605,nm0159494"
tt0233656,"nm0004103,nm0409578"
tt0233841,"nm0006498,nm0619564"
tt0234000,nm0004363
tt0234137,"nm0052774,nm0091579,nm0368714,nm0943829"
tt0234215,nm0005428
tt0234288,"nm0097236,nm0873400"
tt0234354,"nm0597857,nm1360674"
tt0234570,"nm0006625,nm0654077"
tt0234652,"nm0093051,nm0171473,nm0932144"
tt0234805,"nm0388667,nm0501607,nm0905158"
tt0234829,"nm0005367,nm0866132,nm0918873"
tt0234837,"nm0619627,nm0090350"
tt0234853,nm0106835
tt0234940,nm0811773
tt0234988,"nm0350168,nm0756709,nm0762201"
tt0235048,nm0675036
tt0235412,nm0351006
tt0235553,nm0635579
tt0235606,"nm0323885,nm0334926"
tt0235618,nm0382012
tt0235679,"nm0559645,nm0605303,nm0948980"
tt0235712,"nm0406772,nm0619084,nm1654405"
tt0235737,"nm0013351,nm0001104,nm0005113,nm0732438"
tt0236019,"nm0185023,nm0660295"
tt0236027,"nm0536385,nm0536410"
tt0236034,nm0131204
tt0236126,nm3091687
tt0236157,nm0347384
