tconst,region,primaryTitle,startYear,runtimeMinutes,genres,directors,writers,averageRating,numVotes
tt7624934,BR,Zoo,2018,95,"Comedy,Drama,Horror",nm0875659,nm0875659,5.5,2143
tt7628458,AT,Hadi Be Oglum,2018,112,Drama,nm9145322,"nm9145322,nm6938000,nm10316515,nm3087478,nm6725612",7.0,3876
tt7631568,CA,The Devil to Pay,2019,87,Thriller,"nm1864206,nm1460195","nm1864206,nm1460195",6.2,1237
tt7632930,GB,Trener,2018,138,"Drama,Sport",nm1572716,"nm9418504,nm1572716,nm2454599",6.3,1510
tt7634968,AE,What Men Want,2019,117,"Comedy,Fantasy,Romance",nm0788202,"nm1202276,nm0404752,nm0339733,nm1944708,nm0326092,nm0951135,nm0236884",5.4,31794
tt7637350,GB,After the Rain,2018,112,"Drama,Romance,Sport",nm0619073,"nm9421649,nm4940865",6.7,1562
tt7638344,AE,Dhadak,2018,138,"Drama,Romance",nm4264671,"nm4264671,nm5616219,nm15140636",4.6,10496
tt7638348,AE,Boss Level,2020,100,"Action,Adventure,Comedy",nm0138620,"nm2482939,nm2282967,nm0138620",6.8,79184
tt7638556,AU,Come from Away,2021,106,"Comedy,Drama,Musical",nm2259353,"nm1809865,nm4276848",8.5,3848
tt7639372,AE,Total Dhamaal,2019,130,"Action,Adventure,Comedy",nm0409791,"nm1885232,nm1633565,nm2366632",4.2,7809
tt7639528,AU,Gintama 2: Rules are Made to be Broken,2018,134,"Action,Adventure,Comedy",nm2279646,"nm2279646,nm2985912",6.4,1196
tt7640198,GB,Comic Sans,2018,103,"Comedy,Drama,Romance",nm3171891,"nm3171891,nm0750714,nm2418338",6.9,1224
tt7642500,AU,Parallel Minds,2020,86,"Horror,Sci-Fi,Thriller",nm3397093,"nm3397093,nm0852304,nm0923303",3.7,4387
tt7642818,AT,Between Family,2017,124,Comedy,nm1560896,nm1665588,7.6,26212
tt7642878,AT,Maide'nin Altin Günü,2017,105,Comedy,nm1759824,"nm2943749,nm9426818,nm1759326",3.7,2480
tt7645102,AE,Burial Ground Massacre,2021,100,Horror,"nm4174254,nm1020877","nm1020877,nm1798629",3.0,1766
